2004 Federal Election House of Representatives First Preferences By Candidate By Vote Type [12246 8/11/2005 11:07:20 PM]
StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,101,Canberra,15421,ELLERMAN,Sue,1,,GRN,The Greens,7687,336,141,1713,366,10243,3.92
ACT,101,Canberra,15166,BARNIER,Belinda,2,,LP,Liberal,28798,710,332,5901,1497,37238,2.95
ACT,101,Canberra,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,570,26,7,128,34,765,0.76
ACT,101,Canberra,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),39556,940,497,7608,1613,50214,3.4
ACT,101,Canberra,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,1649,57,31,398,83,2218,-5.87
ACT,101,Canberra,999,Informal,Informal,999,,,Informal,2983,79,67,370,45,3544,-0.01
ACT,102,Fraser,14756,VASSILOPOULOS,James,1,,SAL,Socialist Alliance,1719,35,57,218,38,2067,1.91
ACT,102,Fraser,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),42755,945,723,8376,1823,54622,3.13
ACT,102,Fraser,15143,GILES,Adam,3,,LP,Liberal,28060,765,437,5560,1448,36270,2.82
ACT,102,Fraser,15137,GRIMSEY,Lynne,4,,DEM,Australian Democrats,2030,93,42,511,116,2792,-5.39
ACT,102,Fraser,15425,TURBAYNE,David,5,,GRN,The Greens,9116,293,211,2132,445,12197,3.42
ACT,102,Fraser,999,Informal,Informal,999,,,Informal,3267,89,98,374,59,3887,-0.14
NSW,103,Banks,15349,STAVRINOS,Harry,1,,HAN,Pauline Hanson's One Nation (NSW Division),1857,195,16,110,124,2302,-3.17
NSW,103,Banks,14170,MAKIN,Stephen,2,,GRN,The Greens,2791,372,26,148,96,3433,1.87
NSW,103,Banks,14709,GRAY,Roger,3,,LP,Liberal,25952,1625,134,1385,1831,30927,6.36
NSW,103,Banks,15410,BRISCOE-HOUGH,Greg,4,,FFP,Family First,495,92,16,29,23,655,0.89
NSW,103,Banks,15556,CLYBURN,Mark,5,,DEM,Australian Democrats,511,92,4,38,30,675,-2.27
NSW,103,Banks,14330,MELHAM,Daryl,6,#,ALP,Australian Labor Party,27708,1753,176,1378,1721,32736,0.36
NSW,103,Banks,15129,PETERSON,Janne,7,,CDP,Christian Democratic Party (Fred Nile Group),2235,149,19,144,107,2654,0.95
