2022 Federal Election House of Representatives First Preferences By Candidate By Vote Type [Event:27966 Phase:FinalResults Generated:2022-07-19T10:29:59 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,318,Bean,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,2479,72,7,110,163,2831,0.48
ACT,318,Bean,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,2304,49,5,108,214,2680,2.72
ACT,318,Bean,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,35883,590,106,915,3566,41060,3.59
ACT,318,Bean,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,6953,124,11,176,759,8023,-0.12
ACT,318,Bean,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,12474,396,42,489,1158,14559,1.71
ACT,318,Bean,37198,HIATT,Jane,6,N,N,LP,Liberal,25241,434,79,807,2680,29241,-1.72
ACT,318,Bean,999,Informal,Informal,999,N,N,,Informal,2573,49,11,52,230,2915,-2.27
ACT,101,Canberra,36238,SMITH,Catherine,1,N,N,UAPP,United Australia Party,1349,72,5,107,154,1687,0.25
ACT,101,Canberra,37456,MILES,James,2,N,N,ON,Pauline Hanson's One Nation,1227,53,5,86,160,1531,1.66
ACT,101,Canberra,32830,BOHM,Tim,3,N,N,IND,Independent,3841,108,15,195,613,4772,0.47
ACT,101,Canberra,37211,MINSON,Slade,4,N,N,LP,Liberal,16264,311,50,902,2575,20102,-6.08
ACT,101,Canberra,36241,HOLLO,Tim,5,N,N,GRN,The Greens,19240,404,88,998,2065,22795,1.38
ACT,101,Canberra,36228,PAYNE,Alicia,6,Y,Y,ALP,Australian Labor Party,34574,725,164,1570,4402,41435,4.38
ACT,101,Canberra,999,Informal,Informal,999,N,N,,Informal,1340,45,9,46,228,1668,-0.39
ACT,102,Fenner,36234,LEIGH,Andrew,1,Y,Y,ALP,Australian Labor Party,38493,681,143,1014,3769,44100,3.45
ACT,102,Fenner,37203,KUSTER,Nathan,2,N,N,LP,Liberal,21806,378,77,658,2497,25416,-6.82
ACT,102,Fenner,36237,ELTON,Timothy Peter,3,N,N,UAPP,United Australia Party,1987,53,6,114,186,2346,-1.5
ACT,102,Fenner,37458,GRANT,Lucia,4,N,N,ON,Pauline Hanson's One Nation,1984,63,7,93,272,2419,2.65
ACT,102,Fenner,36242,SOJIC,Natasa,5,N,N,GRN,The Greens,13206,359,52,443,1234,15294,2.33
ACT,102,Fenner,37599,JAKEMAN,Guy,6,N,N,LDP,Liberal Democrats,1434,46,4,42,180,1706,1.87
ACT,102,Fenner,999,Informal,Informal,999,N,N,,Informal,2222,36,9,58,208,2533,-0.29
NSW,103,Banks,37018,COLEMAN,David,1,Y,Y,LP,Liberal,34082,921,134,1186,5299,41622,-5.7
NSW,103,Banks,36651,COCKER,Elouise Ivy,2,N,N,LDP,Liberal Democrats,974,73,10,56,151,1264,1.37
NSW,103,Banks,36265,MOMIRCEVSKI,Marika,3,N,N,UAPP,United Australia Party,4325,189,24,159,351,5048,3.27
NSW,103,Banks,36330,HANNA,Natalie,4,N,N,GRN,The Greens,6361,344,30,339,989,8063,2.94
NSW,103,Banks,37388,KHOUW,Steve,5,N,N,NAFD,,804,25,2,25,105,961,1.04
NSW,103,Banks,37773,HEFFERNAN,Malcolm Phillip,6,N,N,ON,Pauline Hanson's One Nation,2028,125,11,97,367,2628,2.86
NSW,103,Banks,36774,SOON,Zhi,7,N,N,ALP,Labor,26704,815,108,1023,3809,32459,-1.09
NSW,103,Banks,999,Informal,Informal,999,N,N,,Informal,5692,259,16,132,451,6550,-0.56
NSW,104,Barton,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,38562,1782,178,1285,4399,46206,1.24
NSW,104,Barton,36276,HONOS,Dimitri,2,N,N,UAPP,United Australia Party,4733,306,28,161,383,5611,3.83
NSW,104,Barton,36332,VANDIJK,Taylor,3,N,N,GRN,The Greens,9072,740,54,457,1118,11441,3.46
NSW,104,Barton,37017,GOODY,John,4,N,N,LP,Liberal,19588,931,78,708,2687,23992,-7.3
NSW,104,Barton,37503,POLLARD,Phillip,5,N,N,ON,Pauline Hanson's One Nation,3673,186,21,117,376,4373,1.11
NSW,104,Barton,999,Informal,Informal,999,N,N,,Informal,6582,284,40,114,385,7405,-2.05
NSW,105,Bennelong,36344,AUGUST,John,1,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",1583,91,6,82,363,2125,2.13
NSW,105,Bennelong,36300,ADAMS,Tony,2,N,N,GRN,The Greens,8880,463,37,412,1603,11395,1.97
NSW,105,Bennelong,36650,CAMERON,Dougal,3,N,N,LDP,Liberal Democrats,1134,77,7,59,262,1539,1.54
NSW,105,Bennelong,37019,KENNEDY,Simon,4,N,N,LP,Liberal,32419,809,80,901,6997,41206,-9.47
NSW,105,Bennelong,36280,COLLYER,Rhys Ian,5,N,N,UAPP,United Australia Party,2403,102,13,86,311,2915,0.97
NSW,105,Bennelong,37519,WATERSON,Victor,6,N,N,ON,Pauline Hanson's One Nation,1267,64,4,58,271,1664,1.67
NSW,105,Bennelong,36827,LAXALE,Jerome,7,Y,N,ALP,Labor,30306,786,94,890,5520,37596,3.7
NSW,105,Bennelong,37428,DHONGDUE,Kyinzom,8,N,N,DPDA,Democratic Alliance,967,23,2,29,187,1208,1.21
NSW,105,Bennelong,999,Informal,Informal,999,N,N,,Informal,5050,227,16,161,676,6130,0.64
NSW,106,Berowra,36851,SAMIOS,Nicholas,1,N,N,LDP,Liberal Democrats,1766,136,11,115,279,2307,2.47
NSW,106,Berowra,36291,SALITRA,Tania,2,N,N,GRN,The Greens,12135,469,29,353,1550,14536,3.7
NSW,106,Berowra,37792,BOSMA,Rhiannon,3,N,N,ON,Pauline Hanson's One Nation,2360,132,4,110,366,2972,3.19
NSW,106,Berowra,37028,LEESER,Julian,4,Y,Y,LP,Liberal,36605,1015,57,1059,7061,45797,-8.12
NSW,106,Berowra,36295,CLARKE,Brendan Michael,5,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",1082,53,9,44,230,1418,1.52
NSW,106,Berowra,36830,KOSCHINSKI,Benson,6,N,N,ALP,Labor,16944,592,45,527,2638,20746,1.13
NSW,106,Berowra,37789,LOUIE,David James,7,N,N,CYA,Australian Federation Party,439,12,2,10,46,509,0.55
NSW,106,Berowra,27974,WOODWARD,Roger,8,N,N,IND,Independent,674,29,2,39,160,904,0.44
NSW,106,Berowra,36339,MARTINIC,Christopher,9,N,N,UAPP,United Australia Party,1875,113,6,79,242,2315,0.8
NSW,106,Berowra,37815,CASWELL,Benjamin,10,N,N,IND,Independent,1475,53,1,33,240,1802,1.93
NSW,106,Berowra,999,Informal,Informal,999,N,N,,Informal,5064,264,20,185,550,6083,-0.28
NSW,107,Blaxland,37547,STEPANOFF,Adam,1,N,N,ON,Pauline Hanson's One Nation,3419,288,31,162,521,4421,5.41
NSW,107,Blaxland,37038,GUNEY,Oz,2,N,N,LP,Liberal,17746,761,91,649,2812,22059,-1.81
NSW,107,Blaxland,36349,EISLER,Linda,3,N,N,GRN,The Greens,3996,328,25,251,587,5187,0.99
