2016 Federal Election House of Representatives First Preferences by Vote Type by Party by State [Event:20499 Phase:FinalResults Generated:2017-05-11T17:34:42 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb,PartyAb,PartyNm,OrderOfAppearance,Contested,Nominations,Elected,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,DeclarationPrePollVotes,DeclarationPrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage,TotalSwing
NSW,LP,Liberal,1,38,38,16,1203934,32.20,58055,31.12,4609,27.49,45111,33.23,114715,40.13,1426424,32.68,-4.67
NSW,NP,The Nationals,2,10,10,7,374171,10.01,10067,5.40,877,5.23,11483,8.46,24283,8.50,420881,9.64,-0.35
NSW,ALP,Australian Labor Party,3,47,47,24,1400665,37.46,69531,37.27,7509,44.78,44567,32.82,89277,31.23,1611549,36.93,+2.41
NSW,GRN,The Greens,4,47,47,0,322783,8.63,24984,13.39,1683,10.04,18061,13.30,23226,8.13,390737,8.95,+1.00
NSW,CDP,Christian Democratic Party,5,47,47,0,145590,3.89,7802,4.18,713,4.25,4808,3.54,11053,3.87,169966,3.89,+1.76
NSW,ON,One Nation,6,3,3,0,23686,0.63,1117,0.60,114,0.68,850,0.63,1775,0.62,27542,0.63,+0.16
NSW,DLP,DLP - Democratic Labour Party,7,1,1,0,821,0.02,69,0.04,1,0.01,23,0.02,54,0.02,968,0.02,-0.39
NSW,BTA,Bullet Train For Australia,8,1,1,0,1801,0.05,159,0.09,12,0.07,73,0.05,222,0.08,2267,0.05,-0.15
NSW,AFN,Australia First Party (NSW) Incorporated,9,2,2,0,2331,0.06,208,0.11,14,0.08,87,0.06,225,0.08,2865,0.07,-0.08
NSW,RUA,Rise Up Australia Party,10,1,1,0,828,0.02,59,0.03,8,0.05,46,0.03,66,0.02,1007,0.02,-0.11
NSW,CEC,Citizens Electoral Council,11,3,3,0,2339,0.06,156,0.08,14,0.08,106,0.08,174,0.06,2789,0.06,-0.04
NSW,ASXP,Australian Sex Party,12,2,2,0,1813,0.05,217,0.12,13,0.08,149,0.11,198,0.07,2390,0.05,-0.03
NSW,NCP,Non-Custodial Parents Party,13,2,2,0,3168,0.08,185,0.10,16,0.10,87,0.06,207,0.07,3663,0.08,+0.05
NSW,SPP,Sustainable Australia,14,1,1,0,412,0.01,82,0.04,5,0.03,40,0.03,67,0.02,606,0.01,-0.04
NSW,SAL,Socialist Alliance,15,1,1,0,401,0.01,34,0.02,8,0.05,26,0.02,31,0.01,500,0.01,-0.02
