2019 Federal Election House of Representatives First Preferences by Vote Type by Party by State [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:44 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
StateAb,PartyAb,PartyNm,OrderOfAppearance,Contested,Nominations,Elected,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,DeclarationPrePollVotes,DeclarationPrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage,TotalSwing
NSW,LP,Liberal,1,37,37,15,1236610,31.71,54335,30.31,3701,28.26,56079,31.74,110835,41.29,1461560,32.21,-0.47
NSW,NP,The Nationals,2,12,12,7,422389,10.83,9323,5.20,650,4.96,13726,7.77,22778,8.49,468866,10.33,+0.69
NSW,ALP,Australian Labor Party,3,47,47,24,1363996,34.98,62260,34.73,5269,40.24,57596,32.60,79102,29.47,1568223,34.56,-2.37
NSW,GRN,The Greens,4,47,47,0,326450,8.37,25888,14.44,1548,11.82,22486,12.73,18866,7.03,395238,8.71,-0.24
NSW,UAPP,United Australia Party,5,47,47,0,129699,3.33,7571,4.22,529,4.04,7172,4.06,8506,3.17,153477,3.38,+3.38
NSW,CDP,Christian Democratic Party,6,42,42,0,81762,2.10,4905,2.74,351,2.68,4203,2.38,6292,2.34,97513,2.15,-1.74
NSW,SPP,Sustainable Australia,7,13,13,0,22482,0.58,1470,0.82,64,0.49,1411,0.80,1972,0.73,27399,0.60,+0.59
NSW,AJP,Animal Justice Party,8,12,12,0,24934,0.64,1692,0.94,105,0.80,1305,0.74,1945,0.72,29981,0.66,+0.19
NSW,ON,Pauline Hanson's One Nation,9,6,6,0,51617,1.32,2636,1.47,231,1.76,2254,1.28,2726,1.02,59464,1.31,+0.68
NSW,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,10,5,5,0,6375,0.16,442,0.25,34,0.26,422,0.24,381,0.14,7654,0.17,+0.17
NSW,FUT,Science Party,11,5,5,0,8775,0.23,656,0.37,34,0.26,552,0.31,774,0.29,10791,0.24,-0.10
NSW,LDP,Liberal Democrats (LDP),12,4,4,0,16267,0.42,1022,0.57,51,0.39,1139,0.64,812,0.30,19291,0.43,-0.03
NSW,SEP,Socialist Equality Party,13,2,2,0,1095,0.03,101,0.06,3,0.02,104,0.06,86,0.03,1389,0.03,+0.00
NSW,AFN,Australia First Party (NSW) Incorporated,14,1,1,0,1154,0.03,83,0.05,8,0.06,56,0.03,71,0.03,1372,0.03,-0.04
NSW,ABFA,Australian Better Families,15,1,1,0,1691,0.04,153,0.09,15,0.11,92,0.05,121,0.05,2072,0.05,+0.05
NSW,AWP,Australian Workers Party,16,1,1,0,1418,0.04,107,0.06,8,0.06,83,0.05,60,0.02,1676,0.04,+0.04
NSW,IMO,Involuntary Medication Objectors (Vaccination/Fluoride) Party,17,1,1,0,1016,0.03,39,0.02,2,0.02,82,0.05,40,0.01,1179,0.03,+0.03
NSW,NCP,Non-Custodial Parents Party,18,1,1,0,1038,0.03,65,0.04,4,0.03,43,0.02,63,0.02,1213,0.03,-0.05
NSW,ASP,"Shooters, Fishers and Farmers",19,1,1,0,16669,0.43,478,0.27,31,0.24,433,0.25,518,0.19,18129,0.40,+0.32
NSW,GAP,The Great Australian Party,20,1,1,0,933,0.02,52,0.03,3,0.02,37,0.02,61,0.02,1086,0.02,+0.02
NSW,IND,Independent,21,21,29,1,183488,4.70,5978,3.33,454,3.47,7408,4.19,12435,4.63,209763,4.62,+0.68
VIC,LP,Liberal,1,36,36,12,1026602,34.44,45718,29.83,2892,27.75,59950,33.94,153643,41.14,1288805,34.88,-2.13
VIC,NP,The Nationals,2,4,4,3,123150,4.13,2044,1.33,166,1.59,4186,2.37,7191,1.93,136737,3.70,-1.05
VIC,ALP,Australian Labor Party,3,38,38,21,1112095,37.30,54795,35.75,4383,42.06,60519,34.26,130121,34.85,1361913,36.86,+1.28
VIC,GRN,The Greens,4,38,38,1,341375,11.45,31288,20.41,1516,14.55,29173,16.51,35817,9.59,439169,11.89,-1.24
VIC,UAPP,United Australia Party,5,38,38,0,106025,3.56,6007,3.92,497,4.77,7577,4.29,14475,3.88,134581,3.64,+3.64
VIC,AJP,Animal Justice Party,6,16,16,0,30679,1.03,2682,1.75,145,1.39,2286,1.29,5541,1.48,41333,1.12,-0.77
VIC,RUA,Rise Up Australia Party,7,11,11,0,8293,0.28,604,0.39,33,0.32,526,0.30,1316,0.35,10772,0.29,-0.86
