2004 Federal Election House of Representatives First Preferences By Party [12246 8/11/2005 11:07:16 PM]
PartyAb,PartyNm,OrderOfAppearance,Contested,Nominations,Elected,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,PrePollVotes,PrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage,TotalSwing
ALP,Australian Labor Party,1,150,150,60,3685137,38.28,240063,33.96,34253,40.61,243380,34.94,206284,34.36,4409117,37.64,-0.2
LP,Liberal,2,133,133,74,3880695,40.31,278056,39.34,28266,33.51,282910,40.62,271531,45.23,4741458,40.47,3.39
NP,The Nationals,3,24,24,12,559861,5.82,33437,4.73,4005,4.75,48584,6.98,44388,7.39,690275,5.89,0.28
DEM,Democrats,4,125,125,0,113101,1.17,12981,1.84,1207,1.43,9970,1.43,7573,1.26,144832,1.24,-4.17
GRN,The Greens,5,150,150,0,671692,6.98,76968,10.89,8271,9.81,55393,7.95,29410,4.9,841734,7.19,2.23
HAN,One Nation,6,77,77,0,110602,1.15,12014,1.7,1307,1.55,8254,1.19,7779,1.3,139956,1.19,-3.15
CDP,CDP Christian Party,7,38,38,0,59388,0.62,5683,0.8,493,0.58,3849,0.55,2828,0.47,72241,0.62,0.02
CLP,CLP - The Territory Party,8,2,2,1,32196,0.33,765,0.11,423,0.5,4651,0.67,1820,0.3,39855,0.34,0.02
CEC,Citizens Electoral Council,9,96,96,0,33485,0.35,3978,0.56,549,0.65,2679,0.38,1658,0.28,42349,0.36,0.2
LFF,liberals for forests,10,7,7,0,6225,0.06,891,0.13,104,0.12,618,0.09,327,0.05,8165,0.07,-0.07
NGST,No GST,11,8,8,0,6087,0.06,868,0.12,74,0.09,470,0.07,303,0.05,7802,0.07,-0.05
SAS,Save the ADI Site Party,12,3,3,0,2880,0.03,287,0.04,23,0.03,182,0.03,118,0.02,3490,0.03,-0.02
PLP,Progressive Labour Party,13,2,2,0,3064,0.03,334,0.05,32,0.04,219,0.03,126,0.02,3775,0.03,-0.01
LEF,Lower Excise Fuel and Beer Party,14,1,1,0,1647,0.02,142,0.02,37,0.04,142,0.02,39,0.01,2007,0.02,-0.02
HMP,HEMP,15,1,1,0,655,0.01,56,0.01,16,0.02,24,0,36,0.01,787,0.01,-0.02
NCP,Non-Custodial Parents Party,16,2,2,0,863,0.01,139,0.02,16,0.02,81,0.01,33,0.01,1132,0.01,0
FPY,The Fishing Party,17,4,4,0,1904,0.02,322,0.05,20,0.02,174,0.02,96,0.02,2516,0.02,0.01
ORP,Outdoor Recreation Party,18,4,4,0,2739,0.03,318,0.04,38,0.05,256,0.04,154,0.03,3505,0.03,0.03
DLP,DLP - Democratic Labor Party,19,2,2,0,1085,0.01,118,0.02,19,0.02,87,0.01,63,0.01,1372,0.01,0.01
VET,"Ex-Service, Service & Veterans Party",20,5,5,0,3322,0.03,361,0.05,28,0.03,378,0.05,280,0.05,4369,0.04,0.04
FFP,Family First,21,109,109,0,192837,2,18084,2.56,2329,2.76,12181,1.75,9884,1.65,235315,2.01,2.01
NCO,New Country Party,22,7,7,0,7783,0.08,723,0.1,103,0.12,382,0.05,448,0.07,9439,0.08,0.08
NDP,Nuclear Disarmament Party,23,1,1,0,265,0,19,0,8,0.01,35,0.01,14,0,341,0,0
SAL,Socialist Alliance,24,26,26,0,11608,0.12,1139,0.16,228,0.27,799,0.11,381,0.06,14155,0.12,0.12
ADP,The Aged and Disability Pensioners Party,25,1,1,0,171,0,30,0,3,0,23,0,58,0.01,285,0,0
TGA,The Great Australians,26,4,4,0,2240,0.02,250,0.04,26,0.03,134,0.02,174,0.03,2824,0.02,0.02
IND,Independent,27,71,99,3,231107,2.4,18297,2.59,2381,2.82,20124,2.89,14297,2.38,286206,2.44,-0.27
NAFD,Non Affiliated,28,10,10,0,4418,0.05,558,0.08,84,0.1,502,0.07,268,0.04,5830,0.05,-0.14
