2010 Federal Election House of Representatives First Preferences By Party [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:22 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
PartyAb,PartyNm,OrderOfAppearance,Contested,Nominations,Elected,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,PrePollVotes,PrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage,TotalSwing
ALP,Australian Labor Party,1,150,150,72,4014903,38.48,237655,34.96,14692,42.47,158725,33.87,285388,36.3,4711363,37.99,-5.39
LP,Liberal,2,109,109,44,3161222,30.3,189754,27.91,9153,26.46,154758,33.02,262496,33.39,3777383,30.46,0.77
LNQ,Liberal National Party of Queensland,3,30,30,21,936368,8.97,58648,8.63,1980,5.72,37845,8.07,95684,12.17,1130525,9.12,0.6
GRN,The Greens,4,150,150,1,1193263,11.44,120156,17.68,5192,15.01,70936,15.13,69451,8.83,1458998,11.76,3.97
NP,The Nationals,5,16,16,7,406562,3.9,16578,2.44,778,2.25,13884,2.96,24585,3.13,462387,3.73,0.16
FFP,Family First,6,108,108,0,229285,2.2,21794,3.21,1104,3.19,9842,2.1,17305,2.2,279330,2.25,0.26
CDP,CDP Christian Party,7,42,42,0,70406,0.67,5613,0.83,269,0.78,2763,0.59,3958,0.5,83009,0.67,-0.17
DEM,Democrats,8,25,25,0,17697,0.17,1759,0.26,65,0.19,1217,0.26,1638,0.21,22376,0.18,-0.54
CLP,Country Liberals,9,2,2,1,34073,0.33,549,0.08,105,0.3,1915,0.41,1693,0.22,38335,0.31,-0.01
ON,One Nation,10,21,21,0,22353,0.21,2107,0.31,98,0.28,1108,0.24,1518,0.19,27184,0.22,-0.04
CEC,Citizens Electoral Council,11,12,12,0,6754,0.06,515,0.08,31,0.09,307,0.07,410,0.05,8017,0.06,-0.16
LDP,Liberal Democrats (LDP),12,22,22,0,17820,0.17,2850,0.42,83,0.24,1870,0.4,1639,0.21,24262,0.2,0.06
SAL,Socialist Alliance,13,12,12,0,7778,0.07,764,0.11,38,0.11,378,0.08,390,0.05,9348,0.08,0
DLP,DLP - Democratic Labor Party,14,7,7,0,4019,0.04,592,0.09,20,0.06,277,0.06,304,0.04,5212,0.04,-0.01
SEP,Socialist Equality Party,15,10,10,0,9047,0.09,1161,0.17,83,0.24,522,0.11,347,0.04,11160,0.09,0.06
AFN,Australia First Party (NSW) Incorporated,16,5,5,0,3115,0.03,296,0.04,11,0.03,93,0.02,155,0.02,3670,0.03,0.03
ASXP,Australian Sex Party,17,6,6,0,8652,0.08,1341,0.2,61,0.18,575,0.12,634,0.08,11263,0.09,0.09
BAP,Building Australia Party,18,3,3,0,1244,0.01,146,0.02,3,0.01,47,0.01,57,0.01,1497,0.01,0.01
CA,Carers Alliance,19,3,3,0,1171,0.01,102,0.02,3,0.01,57,0.01,125,0.02,1458,0.01,0.01
CAL,Communist Alliance,20,1,1,0,524,0.01,64,0.01,5,0.01,30,0.01,33,0,656,0.01,0.01
NCP,Non-Custodial Parents Party,21,2,2,0,2437,0.02,206,0.03,3,0.01,84,0.02,105,0.01,2835,0.02,0.01
SPA,Secular Party of Australia,22,19,19,0,10289,0.1,1001,0.15,45,0.13,668,0.14,749,0.1,12752,0.1,0.1
TCS,The Climate Sceptics,23,7,7,0,3473,0.03,398,0.06,22,0.06,160,0.03,286,0.04,4339,0.03,0.03
IND,Independent,24,53,82,4,268688,2.58,15539,2.29,741,2.14,10492,2.24,17036,2.17,312496,2.52,0.3
NAFD,Non Affiliated,25,5,5,0,2041,0.02,172,0.03,5,0.01,138,0.03,152,0.02,2508,0.02,0.01
