2016 Federal Election House of Representatives First Preferences By Party [Event:20499 Phase:FinalResults Generated:2017-05-11T17:34:41 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
PartyAb,PartyNm,OrderOfAppearance,Contested,Nominations,Elected,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,PrePollVotes,PrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage,TotalSwing
LP,Liberal,1,107,107,45,3174999,28.4,167251,26.93,12672,24.78,148780,30.29,379203,31.66,3882905,28.67,-3.35
LNP,Liberal National Party,2,30,30,21,922093,8.25,41380,6.66,2199,4.3,38213,7.78,149851,12.51,1153736,8.52,-0.4
NP,The Nationals,3,22,22,10,551647,4.93,15452,2.49,1338,2.62,18868,3.84,37250,3.11,624555,4.61,0.32
CLP,Country Liberals (NT),4,2,2,0,28275,0.25,419,0.07,85,0.17,1561,0.32,2069,0.17,32409,0.24,-0.08
ALP,Australian Labor Party,5,150,150,69,3955335,35.38,211917,34.12,21658,42.36,149004,30.33,364382,30.42,4702296,34.73,1.35
GRN,The Greens,6,150,150,1,1109640,9.93,95729,15.41,6246,12.22,70824,14.42,103211,8.62,1385650,10.23,1.58
PUP,Palmer United Party,7,1,1,0,257,0,20,0,2,0,17,0,19,0,315,0,-5.49
KAP,Katter's Australian Party,8,12,12,1,59628,0.53,3119,0.5,159,0.31,2760,0.56,7213,0.6,72879,0.54,-0.5
FFP,Family First,9,65,65,0,161385,1.44,12044,1.94,911,1.78,7224,1.47,19658,1.64,201222,1.49,0.08
CDP,Christian Democratic Party,10,55,55,0,152328,1.36,8197,1.32,752,1.47,5047,1.03,11702,0.98,178026,1.31,0.62
ASXP,Australian Sex Party,11,6,6,0,9548,0.09,1078,0.17,66,0.13,786,0.16,1205,0.1,12683,0.09,-0.52
RUA,Rise Up Australia Party,12,31,31,0,55071,0.49,3622,0.58,329,0.64,2792,0.57,6604,0.55,68418,0.51,0.13
