PartyAb,StateAb,DivisionNm,2022,2019,2016,2013,2010,2007,2004,UniqueIdentifier
ALP,NAT,NAT,32.58,33.34,34.73,33.38,37.99,43.38,37.64,ALP_NAT
ALP,ACT,State,44.89,41.09,44.27,42.93,45.02,51.1,50.25,ALP_ACT
ALP,NSW,State,33.38,34.56,36.93,34.52,37.28,44.12,36.7,ALP_NSW
ALP,NT,State,38.16,42.27,40.39,37.43,37.91,47.65,44.27,ALP_NT
ALP,QLD,State,27.42,26.68,30.91,29.77,33.58,42.91,34.78,ALP_QLD
ALP,SA,State,34.46,35.38,31.55,35.73,40.74,43.18,36.75,ALP_SA
ALP,TAS,State,27.26,33.61,37.9,34.81,43.95,42.77,44.58,ALP_TAS
ALP,VIC,State,32.85,36.86,35.58,34.81,42.81,44.69,40.45,ALP_VIC
ALP,WA,State,36.84,29.8,32.45,28.76,31.18,36.8,34.75,ALP_WA
LP,NAT,NAT,23.89,27.99,28.67,32.02,30.46,36.28,40.47,LP_NAT
LP,ACT,State,26.51,31.32,34.56,34.62,34.81,33.23,35.23,LP_ACT
LP,NSW,State,28.3,32.21,32.68,37.35,36.67,32.62,36.16,LP_NSW
LP,SA,State,35.31,40.57,35.09,44.49,40.21,41.76,47.4,LP_SA
LP,TAS,State,32.94,30.63,35.44,40.26,33.6,38.22,41.98,LP_TAS
LP,VIC,State,29.51,34.88,37.01,40.08,36.45,38.09,43.24,LP_VIC
LP,WA,State,34.16,43.79,45.7,47.31,47.02,46.31,48.13,LP_WA
GRN,NAT,NAT,12.25,10.4,10.23,8.65,11.76,7.79,7.19,GRN_NAT
GRN,ACT,State,18.67,16.85,15.09,13.4,19.2,13.16,10.76,GRN_ACT
GRN,NSW,State,10.02,8.71,8.95,7.95,10.24,7.88,8.09,GRN_NSW
GRN,NT,State,13.06,10.15,9.09,7.89,12.97,8.05,6.21,GRN_NT
GRN,QLD,State,12.94,10.32,8.83,6.22,10.92,5.63,5.06,GRN_QLD
GRN,SA,State,12.77,9.61,6.21,8.28,11.98,6.95,5.44,GRN_SA
GRN,TAS,State,12.0,10.12,10.22,8.32,16.82,13.5,9.88,GRN_TAS
GRN,VIC,State,13.74,11.89,13.13,10.8,12.66,8.17,7.45,GRN_VIC
GRN,WA,State,12.5,11.62,12.06,9.74,13.13,8.93,7.67,GRN_WA
