2004 Federal Election House of Representatives First Preferences By Candidate By Polling Place for VIC [12246 8/11/2005 11:07:54 PM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,Swing
VIC,197,Aston,2942,Bayswater,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,16,0.23
VIC,197,Aston,2942,Bayswater,15032,ABSON,Michael,2,,GRN,Australian Greens,154,1.48
VIC,197,Aston,2942,Bayswater,14771,NATHAN,Peter,3,,FFP,Family First,86,3.84
VIC,197,Aston,2942,Bayswater,14255,PEARCE,Chris,4,#,LP,Liberal,1164,10.79
VIC,197,Aston,2942,Bayswater,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,773,-8.97
VIC,197,Aston,2942,Bayswater,15463,BREWER,Nevil,6,,NGST,No GST,15,0.67
VIC,197,Aston,2942,Bayswater,15161,AYLIFFE,Nahum,7,,DEM,Democrats,34,-6.45
VIC,197,Aston,2942,Bayswater,999,Informal,Informal,999,,,Informal,93,-0.14
VIC,197,Aston,2944,Bayswater South,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,7,-0.08
VIC,197,Aston,2944,Bayswater South,15032,ABSON,Michael,2,,GRN,Australian Greens,53,0.78
VIC,197,Aston,2944,Bayswater South,14771,NATHAN,Peter,3,,FFP,Family First,28,2.57
VIC,197,Aston,2944,Bayswater South,14255,PEARCE,Chris,4,#,LP,Liberal,585,6.1
VIC,197,Aston,2944,Bayswater South,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,393,-4.06
VIC,197,Aston,2944,Bayswater South,15463,BREWER,Nevil,6,,NGST,No GST,12,1.1
VIC,197,Aston,2944,Bayswater South,15161,AYLIFFE,Nahum,7,,DEM,Democrats,13,-5.05
VIC,197,Aston,2944,Bayswater South,999,Informal,Informal,999,,,Informal,53,2.21
VIC,197,Aston,2945,Bayswater West,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,15,0.38
VIC,197,Aston,2945,Bayswater West,15032,ABSON,Michael,2,,GRN,Australian Greens,69,0.83
VIC,197,Aston,2945,Bayswater West,14771,NATHAN,Peter,3,,FFP,Family First,51,2.97
VIC,197,Aston,2945,Bayswater West,14255,PEARCE,Chris,4,#,LP,Liberal,1003,9.64
VIC,197,Aston,2945,Bayswater West,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,553,-8.08
VIC,197,Aston,2945,Bayswater West,15463,BREWER,Nevil,6,,NGST,No GST,9,0.52
VIC,197,Aston,2945,Bayswater West,15161,AYLIFFE,Nahum,7,,DEM,Democrats,16,-5.13
