2019 Federal Election House of Representatives First Preferences By Candidate By Polling Place for VIC [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:47 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
VIC,197,Aston,2942,Bayswater,33330,TUDGE,Alan,1,Y,Y,LP,Liberal,880,-1.68
VIC,197,Aston,2942,Bayswater,32408,COOKSON,Asher,2,N,N,GRN,The Greens (VIC),230,0.35
VIC,197,Aston,2942,Bayswater,32313,PETHIYAGODA,Kadira,3,N,N,ALP,Australian Labor Party,724,3.11
VIC,197,Aston,2942,Bayswater,32269,SIRIANNI-DUFFY,Matthew,4,N,N,UAPP,United Australia Party,86,4.29
VIC,197,Aston,2942,Bayswater,32321,KENNEDY,Anna,5,N,N,DLP,Labour DLP,85,4.24
VIC,197,Aston,2942,Bayswater,999,Informal,Informal,999,N,N,,Informal,78,-1.58
VIC,197,Aston,83798,Bayswater South,33330,TUDGE,Alan,1,Y,Y,LP,Liberal,301,1.97
VIC,197,Aston,83798,Bayswater South,32408,COOKSON,Asher,2,N,N,GRN,The Greens (VIC),77,0.96
VIC,197,Aston,83798,Bayswater South,32313,PETHIYAGODA,Kadira,3,N,N,ALP,Australian Labor Party,225,2.21
VIC,197,Aston,83798,Bayswater South,32269,SIRIANNI-DUFFY,Matthew,4,N,N,UAPP,United Australia Party,17,2.68
VIC,197,Aston,83798,Bayswater South,32321,KENNEDY,Anna,5,N,N,DLP,Labour DLP,15,2.36
VIC,197,Aston,83798,Bayswater South,999,Informal,Informal,999,N,N,,Informal,18,-1.95
VIC,197,Aston,2945,Bayswater West,33330,TUDGE,Alan,1,Y,Y,LP,Liberal,607,1.89
VIC,197,Aston,2945,Bayswater West,32408,COOKSON,Asher,2,N,N,GRN,The Greens (VIC),121,-0.87
VIC,197,Aston,2945,Bayswater West,32313,PETHIYAGODA,Kadira,3,N,N,ALP,Australian Labor Party,417,0.36
VIC,197,Aston,2945,Bayswater West,32269,SIRIANNI-DUFFY,Matthew,4,N,N,UAPP,United Australia Party,47,3.77
VIC,197,Aston,2945,Bayswater West,32321,KENNEDY,Anna,5,N,N,DLP,Labour DLP,56,4.49
VIC,197,Aston,2945,Bayswater West,999,Informal,Informal,999,N,N,,Informal,52,-0.01
VIC,197,Aston,2947,Blackwood Park,33330,TUDGE,Alan,1,Y,Y,LP,Liberal,357,-1.55
VIC,197,Aston,2947,Blackwood Park,32408,COOKSON,Asher,2,N,N,GRN,The Greens (VIC),55,-2.04
VIC,197,Aston,2947,Blackwood Park,32313,PETHIYAGODA,Kadira,3,N,N,ALP,Australian Labor Party,265,4.77
VIC,197,Aston,2947,Blackwood Park,32269,SIRIANNI-DUFFY,Matthew,4,N,N,UAPP,United Australia Party,14,1.94
VIC,197,Aston,2947,Blackwood Park,32321,KENNEDY,Anna,5,N,N,DLP,Labour DLP,31,4.29
VIC,197,Aston,2947,Blackwood Park,999,Informal,Informal,999,N,N,,Informal,30,0.41
VIC,197,Aston,65510,BLV Aston PPVC,33330,TUDGE,Alan,1,Y,Y,LP,Liberal,11,-11.56
VIC,197,Aston,65510,BLV Aston PPVC,32408,COOKSON,Asher,2,N,N,GRN,The Greens (VIC),2,-3.11
VIC,197,Aston,65510,BLV Aston PPVC,32313,PETHIYAGODA,Kadira,3,N,N,ALP,Australian Labor Party,11,10.67
VIC,197,Aston,65510,BLV Aston PPVC,32269,SIRIANNI-DUFFY,Matthew,4,N,N,UAPP,United Australia Party,0,0
VIC,197,Aston,65510,BLV Aston PPVC,32321,KENNEDY,Anna,5,N,N,DLP,Labour DLP,1,4
VIC,197,Aston,65510,BLV Aston PPVC,999,Informal,Informal,999,N,N,,Informal,0,0
VIC,197,Aston,2948,Boronia,33330,TUDGE,Alan,1,Y,Y,LP,Liberal,692,4.18
VIC,197,Aston,2948,Boronia,32408,COOKSON,Asher,2,N,N,GRN,The Greens (VIC),185,-1.78
VIC,197,Aston,2948,Boronia,32313,PETHIYAGODA,Kadira,3,N,N,ALP,Australian Labor Party,534,-1.81
VIC,197,Aston,2948,Boronia,32269,SIRIANNI-DUFFY,Matthew,4,N,N,UAPP,United Australia Party,63,4.08
VIC,197,Aston,2948,Boronia,32321,KENNEDY,Anna,5,N,N,DLP,Labour DLP,71,4.6
VIC,197,Aston,2948,Boronia,999,Informal,Informal,999,N,N,,Informal,82,0.12
VIC,197,Aston,63158,Boronia ASTON PPVC,33330,TUDGE,Alan,1,Y,Y,LP,Liberal,7040,4.9
VIC,197,Aston,63158,Boronia ASTON PPVC,32408,COOKSON,Asher,2,N,N,GRN,The Greens (VIC),1273,-0.09
VIC,197,Aston,63158,Boronia ASTON PPVC,32313,PETHIYAGODA,Kadira,3,N,N,ALP,Australian Labor Party,4166,-1.57
VIC,197,Aston,63158,Boronia ASTON PPVC,32269,SIRIANNI-DUFFY,Matthew,4,N,N,UAPP,United Australia Party,664,4.85
VIC,197,Aston,63158,Boronia ASTON PPVC,32321,KENNEDY,Anna,5,N,N,DLP,Labour DLP,536,3.92
VIC,197,Aston,63158,Boronia ASTON PPVC,999,Informal,Informal,999,N,N,,Informal,622,-1.44
